time,open,high,low,close,Volume
1745469000,92679.1,92776.1,92679.1,92703.5,256.6221
1745469300,92703.5,92710,92493.3,92502.6,386.7038
1745469600,92502.6,92589.5,92502.5,92585.9,238.0173
1745469900,92585.9,92628.9,92534.2,92624,161.9207
1745470200,92624,92711.1,92594.7,92700,146.2222
1745470500,92700,92720,92686,92706.2,125.6114
1745470800,92706.2,92822,92706.1,92775.8,355.7536
1745471100,92775.8,92866.8,92744.1,92773.5,281.9726
1745471400,92773.5,92827,92743.9,92819.5,103.8419
1745471700,92819.5,92858.8,92736.9,92736.9,145.7626
1745472000,92736.9,92737,92596.5,92615.7,236.6035
1745472300,92615.7,92615.7,92488,92558.3,257.7184
1745472600,92558.3,92656.5,92558,92647.1,163.4257
1745472900,92647.1,92698.2,92642.4,92679.4,109.3351
1745473200,92679.4,92700,92580.5,92612.9,72.5918
1745473500,92612.9,92707.5,92603.7,92692.2,118.2758
1745473800,92692.2,92694.4,92619.5,92655.5,92.7819
1745474100,92655.5,92655.5,92511.3,92544.6,165.6203
1745474400,92544.6,92600,92544.6,92589.9,95.643
1745474700,92589.9,92590,92462,92469.7,204.7706
1745475000,92469.7,92500,92396.4,92475.1,229.7532
1745475300,92475.1,92475.1,92204.2,92382.5,825.9781
1745475600,92382.5,92575,92271.7,92525.8,696.9004
1745475900,92525.8,92610.1,92510,92599.3,282.211
1745476200,92599.3,92636.1,92506,92542.3,281.9771
1745476500,92542.3,92548.9,92414,92426,139.217
1745476800,92426,92435,92350.7,92360,236.4907
1745477100,92360,92500,92350.7,92500,175.4027
1745477400,92500,92503.3,92370.9,92381.7,172.319
1745477700,92381.7,92392.1,92300,92353.8,227.6423
1745478000,92353.8,92462.5,92260,92452.8,252.4737
1745478300,92452.8,92496.1,92359.3,92452.8,1028.3797
1745478600,92452.8,92573.8,92452.8,92573.8,202.0359
1745478900,92573.8,92592.5,92461.3,92484.3,242.7442
1745479200,92484.3,92484.5,92319.2,92325,150.6338
1745479500,92325,92347.5,92241.1,92336,314.2945
1745479800,92336,92406.9,92250,92389.3,134.0331
1745480100,92389.3,92423,92168.7,92169,673.4022
1745480400,92169,92241,92130,92219.1,1001.3412
1745480700,92219.1,92226.3,92102.1,92140.5,449.6198
1745481000,92140.5,92210,92071.2,92114,360.3198
1745481300,92114,92180.7,92101.5,92166.1,247.8795
1745481600,92166.1,92325.4,92166,92304.6,334.8679
1745481900,92304.6,92325,92098.6,92098.8,347.7432
1745482200,92098.8,92121.4,92058.8,92068.3,359.9455
1745482500,92068.3,92142.6,92011.2,92011.2,277.5595
1745482800,92011.2,92092.4,92000,92000,374.0627
1745483100,92000,92034.7,91837.7,91838,1389.1023
1745483400,91838,92030,91725.1,92010.9,1918.9082
1745483700,92010.9,92142.9,91834.5,92038,1197.4945
1745484000,92038,92055.5,91742.3,91850,2297.4777
1745484300,91850,91927.5,91629.9,91729.2,1242.2861
1745484600,91729.2,91900,91650.9,91849.5,893.0692
1745484900,91849.5,92035.2,91829.7,91985.5,811.7757
1745485200,91985.5,92122.8,91938.1,92114.7,1248.9379
1745485500,92114.7,92222,92070.3,92216.8,963.3272
1745485800,92216.8,92258,92133,92250.1,442.0539
1745486100,92250.1,92359,92230,92261.1,581.3406
1745486400,92261.1,92472.2,92236.9,92412,529.8405
1745486700,92412,92496.3,92305,92339.4,1104.9426
1745487000,92339.4,92530,92287.2,92384.3,818.1698
1745487300,92384.3,92411,92279.5,92289.9,298.5393
1745487600,92289.9,92364.2,92289.7,92300.1,165.8665
1745487900,92300.1,92326.6,92243.8,92292.8,171.7519
1745488200,92292.8,92330,92222,92243.4,199.3751
1745488500,92243.4,92438.6,92243.3,92427.3,251.0441
1745488800,92427.3,92478.5,92419.3,92466,376.2204
1745489100,92466,92476,92361.3,92361.4,264.5114
1745489400,92361.4,92430.4,92322,92400,282.7341
1745489700,92400,92463.8,92380,92422.8,192.0836
1745490000,92422.8,92564.3,92418.9,92526.2,351.1429
1745490300,92526.2,92547.9,92480.5,92509.3,196.4351
1745490600,92509.3,92515.8,92413,92419,180.0841
1745490900,92419,92490.3,92368,92490.3,151.1635
1745491200,92490.3,92600,92480,92583.5,301.7123
1745491500,92583.5,92584.5,92499.9,92499.9,230.316
1745491800,92499.9,92620,92420,92609.7,240.3537
1745492100,92609.7,92609.7,92500.1,92507.2,185.7462
1745492400,92507.2,92522.7,92419.2,92464.4,216.5887
1745492700,92464.4,92468,92324.1,92342.8,367.1235
1745493000,92342.8,92384.6,92272.6,92307.7,1226.7141
1745493300,92307.7,92350,92257.9,92290,202.6795
1745493600,92290,92294.2,92234,92267.5,146.5098
1745493900,92267.5,92400.8,92260,92400.8,211.3369
1745494200,92400.8,92407.6,92250,92295.4,131.8744
1745494500,92295.4,92500,92285.4,92371.5,909.7419
1745494800,92371.5,92478.2,92307.6,92423.2,756.4684
1745495100,92423.2,92481.7,92423.1,92479.3,126.2103
1745495400,92479.3,92577,92476.2,92576.9,167.8404
1745495700,92576.9,92595,92517.7,92575.2,391.7244
1745496000,92575.2,92625.4,92519.5,92525,333.3475
1745496300,92525,92525.1,92380.4,92396.1,271.5581
1745496600,92396.1,92565,92394.3,92564.9,209.742
1745496900,92564.9,92650,92515.4,92650,292.9443
1745497200,92650,92678,92513.6,92513.6,1487.2783
1745497500,92513.6,92594,92463.6,92545,344.4395
1745497800,92545,92671,92470.1,92661.7,182.5727
1745498100,92661.7,92760.2,92625,92655.7,712.6802
1745498400,92655.7,92676.4,92607.3,92619.9,298.7304
1745498700,92619.9,92665.8,92550,92632.2,170.2196
1745499000,92632.2,92648.9,92550,92648.6,121.6066
1745499300,92648.6,92726,92648.6,92720,168.2484
1745499600,92720,92773.8,92649.5,92650.1,341.9263
1745499900,92650.1,92763.9,92604,92714.4,173.3672
1745500200,92714.4,92750,92646.7,92690.6,243.3604
1745500500,92690.6,92780.3,92690.6,92707.2,339.6276
1745500800,92707.2,92725.5,92688.9,92710,99.8626
1745501100,92710,92720.1,92666,92695.7,127.2824
1745501400,92695.7,92915.3,92693.5,92878,954.3824
1745501700,92878,92933.5,92780,92880,946.1536
1745502000,92880,92880.1,92519.4,92791.1,1065.7763
1745502300,92791.1,92855,92531.2,92590.6,761.6949
1745502600,92590.6,92633.2,92501,92593.9,585.4795
1745502900,92593.9,92784.2,92510.5,92768.5,294.8809
1745503200,92768.5,93157.7,92750,93127.3,2456.4988
1745503500,93127.3,93199.7,93060.2,93116.8,1279.3468
1745503800,93116.8,93116.8,92610.5,92750,1802.3262
1745504100,92750,92922.4,92710,92710,588.309
1745504400,92710,92797.4,92615,92683.8,580.2552
1745504700,92683.8,92777,92573.9,92776.7,471.3585
1745505000,92776.7,92911.8,92774.8,92814.6,379.2507
1745505300,92814.6,93070.5,92810,92961,515.5178
1745505600,92961,93118.6,92961,93082.1,489.2081
1745505900,93082.1,93172.6,92916.5,93170.9,458.6713
1745506200,93170.9,93355.5,93152.4,93200.1,1586.9443
1745506500,93200.1,93234.8,92976,93055.8,817.4869
1745506800,93055.8,93149,92961.3,93139.7,419.8925
1745507100,93139.7,93350,93132.7,93312.2,1074.4117
1745507400,93312.2,93412,93249.7,93250.1,977.1337
1745507700,93250.1,93374.4,93149.3,93192.3,545.5585
1745508000,93192.3,93359.5,93156,93175,363.1652
1745508300,93175,93191.2,93071,93078.5,496.5089
1745508600,93078.5,93244.9,93011.3,93238.8,619.5118
1745508900,93238.8,93281.5,93206.2,93241.3,273.6804
1745509200,93241.3,93300,93160,93199.3,300.6102
1745509500,93199.3,93244.9,93139.1,93165.5,1116.4432
1745509800,93165.5,93248.3,93093.6,93244.5,358.8516
1745510100,93244.5,93285,93132.2,93144.9,337.7464
1745510400,93144.9,93286,93144.8,93254,116.4812
1745510700,93254,93320,93172.4,93288.6,194.1805
1745511000,93288.6,93400,93274.7,93400,457.9123
1745511300,93400,93483,93380.9,93475.3,640.4706
1745511600,93475.3,93501.1,93379.4,93379.5,545.8079
1745511900,93379.5,93484,93339.5,93467,433.7424
1745512200,93467,93500,93425.5,93475.1,268.2372
1745512500,93475.1,93500,93406.3,93441.4,494.6065
1745512800,93441.4,93534.5,93428.9,93455,283.124
1745513100,93455,93509.9,93410.6,93444.9,428.8308
1745513400,93444.9,93495.7,93405.2,93440,273.3709
1745513700,93440,93458,93283.8,93286.9,296.4527
1745514000,93286.9,93289.7,93222,93268.8,708.5461
